
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 299, Time: 1.19417, Systemstep: 0.000615234

Begin Step 300, Time: 1.19479, Systemstep: 0.000615234

Begin Step 301, Time: 1.1954, Systemstep: 0.000615234

Begin Step 302, Time: 1.19602, Systemstep: 0.000615234

Begin Step 303, Time: 1.19663, Systemstep: 0.000615234

Begin Step 304, Time: 1.19725, Systemstep: 0.000615234

Begin Step 305, Time: 1.19786, Systemstep: 0.000615234

Begin Step 306, Time: 1.19848, Systemstep: 0.000615234

Begin Step 307, Time: 1.19909, Systemstep: 0.000615234

Begin Step 308, Time: 1.19971, Systemstep: 0.000615234

Begin Step 309, Time: 1.20032, Systemstep: 0.000615234

Begin Step 310, Time: 1.20094, Systemstep: 0.000615234

Begin Step 311, Time: 1.20155, Systemstep: 0.000615234

Begin Step 312, Time: 1.20217, Systemstep: 0.000615234

Begin Step 313, Time: 1.20278, Systemstep: 0.000615234

Begin Step 314, Time: 1.2034, Systemstep: 0.000615234

Begin Step 315, Time: 1.20401, Systemstep: 0.000615234

Begin Step 316, Time: 1.20463, Systemstep: 0.000615234

Begin Step 317, Time: 1.20524, Systemstep: 0.000615234

Begin Step 318, Time: 1.20586, Systemstep: 0.000615234

Begin Step 319, Time: 1.20647, Systemstep: 0.000615234

Begin Step 320, Time: 1.20709, Systemstep: 0.000615234

Begin Step 321, Time: 1.20771, Systemstep: 0.000615234

Begin Step 322, Time: 1.20832, Systemstep: 0.000615234

Begin Step 323, Time: 1.20894, Systemstep: 0.000615234

Begin Step 324, Time: 1.20955, Systemstep: 0.000615234

Begin Step 325, Time: 1.21017, Systemstep: 0.000615234

Begin Step 326, Time: 1.21078, Systemstep: 0.000615234

Begin Step 327, Time: 1.2114, Systemstep: 0.000615234

Begin Step 328, Time: 1.21201, Systemstep: 0.000615234

Begin Step 329, Time: 1.21263, Systemstep: 0.000615234

Begin Step 330, Time: 1.21324, Systemstep: 0.000615234

Begin Step 331, Time: 1.21386, Systemstep: 0.000615234

Begin Step 332, Time: 1.21447, Systemstep: 0.000615234

Begin Step 333, Time: 1.21509, Systemstep: 0.000615234

Begin Step 334, Time: 1.2157, Systemstep: 0.000615234

Begin Step 335, Time: 1.21601, Systemstep: 0.000307617

Begin Step 336, Time: 1.21632, Systemstep: 0.000307617

Begin Step 337, Time: 1.21663, Systemstep: 0.000307617

Begin Step 338, Time: 1.21693, Systemstep: 0.000307617

Begin Step 339, Time: 1.21755, Systemstep: 0.000615234

Begin Step 340, Time: 1.21816, Systemstep: 0.000615234

Begin Step 341, Time: 1.21847, Systemstep: 0.000307617

Begin Step 342, Time: 1.21878, Systemstep: 0.000307617

Begin Step 343, Time: 1.21909, Systemstep: 0.000307617

Begin Step 344, Time: 1.21939, Systemstep: 0.000307617

Begin Step 345, Time: 1.2197, Systemstep: 0.000307617

Begin Step 346, Time: 1.22001, Systemstep: 0.000307617

Begin Step 347, Time: 1.22063, Systemstep: 0.000615234

Begin Step 348, Time: 1.22093, Systemstep: 0.000307617

Begin Step 349, Time: 1.22124, Systemstep: 0.000307617

Begin Step 350, Time: 1.22155, Systemstep: 0.000307617

Begin Step 351, Time: 1.22186, Systemstep: 0.000307617

Begin Step 352, Time: 1.22216, Systemstep: 0.000307617

Begin Step 353, Time: 1.22247, Systemstep: 0.000307617

Begin Step 354, Time: 1.22309, Systemstep: 0.000615234

Begin Step 355, Time: 1.22339, Systemstep: 0.000307617

Begin Step 356, Time: 1.2237, Systemstep: 0.000307617

Begin Step 357, Time: 1.22401, Systemstep: 0.000307617

Begin Step 358, Time: 1.22432, Systemstep: 0.000307617

Begin Step 359, Time: 1.22462, Systemstep: 0.000307617

Begin Step 360, Time: 1.22493, Systemstep: 0.000307617

Begin Step 361, Time: 1.22555, Systemstep: 0.000615234

Begin Step 362, Time: 1.22585, Systemstep: 0.000307617

Begin Step 363, Time: 1.22616, Systemstep: 0.000307617

Begin Step 364, Time: 1.22647, Systemstep: 0.000307617

Begin Step 365, Time: 1.22678, Systemstep: 0.000307617

Begin Step 366, Time: 1.22708, Systemstep: 0.000307617

Begin Step 367, Time: 1.22739, Systemstep: 0.000307617

Begin Step 368, Time: 1.2277, Systemstep: 0.000307617

Begin Step 369, Time: 1.22801, Systemstep: 0.000307617

Begin Step 370, Time: 1.22832, Systemstep: 0.000307617

Begin Step 371, Time: 1.22862, Systemstep: 0.000307617

Begin Step 372, Time: 1.22893, Systemstep: 0.000307617

Begin Step 373, Time: 1.22924, Systemstep: 0.000307617

Begin Step 374, Time: 1.22955, Systemstep: 0.000307617

Begin Step 375, Time: 1.22985, Systemstep: 0.000307617

Begin Step 376, Time: 1.23016, Systemstep: 0.000307617

Begin Step 377, Time: 1.23047, Systemstep: 0.000307617

Begin Step 378, Time: 1.23078, Systemstep: 0.000307617

Begin Step 379, Time: 1.23108, Systemstep: 0.000307617

Begin Step 380, Time: 1.23139, Systemstep: 0.000307617

Begin Step 381, Time: 1.2317, Systemstep: 0.000307617

Begin Step 382, Time: 1.23201, Systemstep: 0.000307617

Begin Step 383, Time: 1.23231, Systemstep: 0.000307617

Begin Step 384, Time: 1.23262, Systemstep: 0.000307617

Begin Step 385, Time: 1.23293, Systemstep: 0.000307617

Begin Step 386, Time: 1.23324, Systemstep: 0.000307617

Begin Step 387, Time: 1.23354, Systemstep: 0.000307617

Begin Step 388, Time: 1.23385, Systemstep: 0.000307617

Begin Step 389, Time: 1.23416, Systemstep: 0.000307617

Begin Step 390, Time: 1.23447, Systemstep: 0.000307617

Begin Step 391, Time: 1.23478, Systemstep: 0.000307617

Begin Step 392, Time: 1.23508, Systemstep: 0.000307617

Begin Step 393, Time: 1.23539, Systemstep: 0.000307617

Begin Step 394, Time: 1.2357, Systemstep: 0.000307617

Begin Step 395, Time: 1.23601, Systemstep: 0.000307617

Begin Step 396, Time: 1.23631, Systemstep: 0.000307617

Begin Step 397, Time: 1.23662, Systemstep: 0.000307617

Begin Step 398, Time: 1.23693, Systemstep: 0.000307617

Begin Step 399, Time: 1.23724, Systemstep: 0.000307617

Begin Step 400, Time: 1.23754, Systemstep: 0.000307617

Begin Step 401, Time: 1.23785, Systemstep: 0.000307617

Begin Step 402, Time: 1.23816, Systemstep: 0.000307617

Begin Step 403, Time: 1.23847, Systemstep: 0.000307617

Begin Step 404, Time: 1.23877, Systemstep: 0.000307617

Begin Step 405, Time: 1.23908, Systemstep: 0.000307617

Begin Step 406, Time: 1.23939, Systemstep: 0.000307617

Begin Step 407, Time: 1.2397, Systemstep: 0.000307617

Begin Step 408, Time: 1.24, Systemstep: 0.000307617

Begin Step 409, Time: 1.24031, Systemstep: 0.000307617

Begin Step 410, Time: 1.24062, Systemstep: 0.000307617

Begin Step 411, Time: 1.24093, Systemstep: 0.000307617

Begin Step 412, Time: 1.24124, Systemstep: 0.000307617

Begin Step 413, Time: 1.24154, Systemstep: 0.000307617

Begin Step 414, Time: 1.24185, Systemstep: 0.000307617

Begin Step 415, Time: 1.24216, Systemstep: 0.000307617

Begin Step 416, Time: 1.24247, Systemstep: 0.000307617

Begin Step 417, Time: 1.24277, Systemstep: 0.000307617

Begin Step 418, Time: 1.24308, Systemstep: 0.000307617

Begin Step 419, Time: 1.24339, Systemstep: 0.000307617

Begin Step 420, Time: 1.2437, Systemstep: 0.000307617

Begin Step 421, Time: 1.244, Systemstep: 0.000307617

Begin Step 422, Time: 1.24431, Systemstep: 0.000307617

Begin Step 423, Time: 1.24462, Systemstep: 0.000307617

Begin Step 424, Time: 1.24493, Systemstep: 0.000307617

Begin Step 425, Time: 1.24523, Systemstep: 0.000307617

Begin Step 426, Time: 1.24554, Systemstep: 0.000307617

Begin Step 427, Time: 1.24585, Systemstep: 0.000307617

Begin Step 428, Time: 1.24616, Systemstep: 0.000307617

Begin Step 429, Time: 1.24646, Systemstep: 0.000307617

Begin Step 430, Time: 1.24677, Systemstep: 0.000307617

Begin Step 431, Time: 1.24708, Systemstep: 0.000307617

Begin Step 432, Time: 1.24739, Systemstep: 0.000307617

Begin Step 433, Time: 1.2477, Systemstep: 0.000307617

Begin Step 434, Time: 1.248, Systemstep: 0.000307617

Begin Step 435, Time: 1.24831, Systemstep: 0.000307617

Begin Step 436, Time: 1.24862, Systemstep: 0.000307617

Begin Step 437, Time: 1.24893, Systemstep: 0.000307617

Begin Step 438, Time: 1.24923, Systemstep: 0.000307617

Begin Step 439, Time: 1.24954, Systemstep: 0.000307617

Begin Step 440, Time: 1.24985, Systemstep: 0.000307617

Begin Step 441, Time: 1.25016, Systemstep: 0.000307617

Begin Step 442, Time: 1.25046, Systemstep: 0.000307617

Begin Step 443, Time: 1.25077, Systemstep: 0.000307617

Begin Step 444, Time: 1.25108, Systemstep: 0.000307617

Begin Step 445, Time: 1.25139, Systemstep: 0.000307617

Begin Step 446, Time: 1.25169, Systemstep: 0.000307617

